Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32599878,Little Women,Louisa May Alcott,"Alcott, Louisa May",Mnemosyne Books,"=""1534967907""","=""9781534967908""",0,4.14,CreateSpace Independent Publishing Platform,Paperback,466,2016,1868,,2023/07/28,to-read,to-read (#23),to-read,,,,0,0
55410610,Panenka,Ronan Hession,"Hession, Ronan",,"=""1910422673""","=""9781910422670""",0,4.04,Bluemoose ,Hardcover,164,2021,,,2023/07/16,to-read,to-read (#22),to-read,,,,0,0
38636379,Stamboul Ghosts: A Stroll Through Bohemian Istanbul,John Freely,"Freely, John","Ara Güler, Andrew Finkel, Maureen Freely","=""0956594883""","=""9780956594884""",0,4.35,Cornucopia Books/Caique Publishing,Hardcover,144,2018,2018,,2023/06/30,currently-reading,currently-reading (#1),currently-reading,,,,1,0
991197,The Complete Persepolis,Marjane Satrapi,"Satrapi, Marjane",,"=""0375714839""","=""9780375714832""",5,4.39,Pantheon Books,Paperback,341,2007,2003,2023/07/02,2023/06/30,,,read,"coolest graphic novel ever. <br/>i could (and i want to) meet marjane satrapi and just listen to her tell her story for hours. so long as she keeps talking, i will keep listening. <br/>",,,1,0
33376821,Sweet Bean Paste,Durian Sukegawa,"Sukegawa, Durian",Alison  Watts,"=""1786071959""","=""9781786071958""",0,4.07,Oneworld Publications,Paperback,218,2017,2013,,2023/06/30,to-read,to-read (#21),to-read,,,,0,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",5,3.72,Picador,Paperback,213,2019,2015,2023/06/30,2023/06/13,,,read,i thought this was going to be a lighthearted read about a time traveling cafe. and then i found myself crying on the subway bc of this book. <br/>,,,1,0
32998876,101 Essays That Will Change The Way You Think,Brianna Wiest,"Wiest, Brianna",,"=""""","=""""",5,3.79,Thought Catalog Books,Kindle Edition,450,2016,2016,2023/06/23,2023/06/18,,,read,"must read especially in your early 20s!!!!!!! <br/>a good book that makes you question what you think you know about your life and then you realize that you kinda know a little bit, and you really don’t know a lot. and that’s okay, if not better, as we keep going :)",,,1,0
53294479,Learning to Talk to Plants,Marta Orriols,"Orriols, Marta",Mara Fay Lethem,"=""1782275770""","=""9781782275770""",0,3.88,Pushkin Press,Paperback,256,2020,2018,,2023/06/22,to-read,to-read (#20),to-read,,,,0,0
11694,The New Life,Orhan Pamuk,"Pamuk, Orhan",,"=""0571193781""","=""9780571193783""",0,3.56,Faber and Faber,Paperback,296,1997,1994,,2023/06/22,to-read,to-read (#19),to-read,,,,0,0
14942,Mrs. Dalloway,Virginia Woolf,"Woolf, Virginia",Maureen Howard,"=""0151009988""","=""9780151009985""",0,3.79,Houghton Mifflin Harcourt,Hardcover,194,2002,1925,,2023/02/20,to-read,to-read (#18),to-read,,,,0,0
40740914,If Cats Disappeared from the World,Genki Kawamura,"Kawamura, Genki",Eric Selland,"=""1509889175""","=""9781509889174""",4,3.79,Picador,Paperback,202,2018,2012,2023/06/13,2023/06/12,,,read,tell the people you love that you love them. we don’t do it enough. ,,,1,0
48616787,The Lying Life of Adults,Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1609455916""","=""9781609455910""",5,3.66,Europa Editions,Hardcover,336,2020,2019,2023/06/11,2023/02/10,,,read,one of the best coming of age stories ever. <br/>one thing i got from this book is that that it has  re-affirmed what i believe: people just want to be and feel loved. ,,,1,0
56337544,To the Man I Loved Too Much,Gabrielle G.,"G., Gabrielle",,"=""1777488206""","=""9781777488208""",0,3.40,Library and Archives Canada,Paperback,144,2021,,,2023/06/08,to-read,to-read (#17),to-read,,,,0,0
61359016,The Applicant,Nazli Koca,"Koca, Nazli",,"=""0802160549""","=""9780802160546""",5,3.55,Grove Press,Hardcover,304,2023,2023,2023/05/09,2023/02/15,,,read,"one of my favorite books. couldn’t put it down even tho i have 3 exams to study for. all i have to say is that somehow i read books that correlate perfectly to the moments of my life, never too early and never too late. ",,,1,0
43708884,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"Mackesy, Charlie",,"=""1529105102""","=""9781529105100""",5,4.56,Ebury Press,Hardcover,128,2019,2019,2023/04/04,2023/04/04,,,read,,,,2,0
33917,The Namesake,Jhumpa Lahiri,"Lahiri, Jhumpa",,"=""0618485228""","=""9780618485222""",0,4.01,Mariner / Houghton Mifflin,Paperback,291,2003,2003,,2023/02/19,to-read,to-read (#16),to-read,,,,0,0
36840397,A Place for Us,Fatima Farheen Mirza,"Mirza, Fatima Farheen",,"=""1524763551""","=""9781524763558""",0,4.17,SJP for Hogarth,Hardcover,385,2018,2018,,2023/02/19,to-read,to-read (#15),to-read,,,,0,0
43124137,The Beekeeper of Aleppo,Christy Lefteri,"Lefteri, Christy",,"=""1984821210""","=""9781984821218""",0,4.17,Ballantine Books,Hardcover,317,2019,2019,,2023/02/19,to-read,to-read (#14),to-read,,,,0,0
58120144,The Surrender Theory: Poems,Caitlin Conlon,"Conlon, Caitlin",,"=""1771682612""","=""9781771682619""",0,4.08,Central Avenue Publishing,Paperback,148,2022,2022,,2023/02/13,to-read,to-read (#13),to-read,,,,0,0
59808037,How Not to Drown in a Glass of Water,Angie Cruz,"Cruz, Angie",,"=""1250208459""","=""9781250208453""",0,3.91,Flatiron Books,Hardcover,195,2022,2022,,2023/01/31,to-read,to-read (#12),to-read,,,,0,0
38463,If Beale Street Could Talk,James Baldwin,"Baldwin, James",,"=""0307275930""","=""9780307275936""",5,4.27,Vintage,Paperback,197,2006,1974,2023/01/30,2023/01/18,,,read,,,,1,0
57693171,Olga Dies Dreaming,Xóchitl González,"González, Xóchitl",,"=""1250786177""","=""9781250786173""",0,4.00,Flatiron Books,Hardcover,369,2022,2022,,2023/01/18,to-read,to-read (#11),to-read,,,,0,0
1252043,The Witch of Portobello,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""0061338818""","=""9780061338816""",5,3.56,Harper Perennial,Paperback,261,2008,2006,2023/01/18,2023/01/14,,,read,"things i’ve learned from reading this book:<br/>1. i’d rather do things in the unconventional way and be happy than follow society and be bored. <br/>2. take the risk and do the hard stuff. if you fail, just enjoy it and move on - you learned something. <br/>3. love simply is. ",,,1,0
151740,"The Lemon Tree: An Arab, a Jew, and the Heart of the Middle East",Sandy Tolan,"Tolan, Sandy",,"=""1596913436""","=""9781596913431""",5,4.09,Bloomsbury USA,Paperback,400,2007,2006,2023/01/14,2022/11/10,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",4,4.12,Random House: Modern Library,Paperback,272,2004,1890,2022/12/26,2022/12/23,,,read,,,,1,0
